Time (UTC),Open,High,Low,Close,Volume 
29.12.2024 22:00:00,1.04333,1.04333,1.04325,1.04325,2.46
29.12.2024 22:01:00,1.04339,1.04339,1.04329,1.04329,6.75
29.12.2024 22:02:00,1.04329,1.04346,1.04325,1.04325,21.48
29.12.2024 22:03:00,1.04334,1.04334,1.04334,1.04334,13.5
29.12.2024 22:04:00,1.04335,1.04335,1.04334,1.04334,9
29.12.2024 22:05:00,1.04341,1.04346,1.04335,1.04335,15.69
29.12.2024 22:06:00,1.04342,1.04343,1.04342,1.04342,13.5
29.12.2024 22:07:00,1.04345,1.04345,1.04339,1.0434,7.38
29.12.2024 22:08:00,1.04332,1.0434,1.04332,1.0434,8.94
29.12.2024 22:09:00,1.0434,1.0434,1.0434,1.0434,24.66
29.12.2024 22:10:00,1.04343,1.04343,1.0434,1.04342,44.1
29.12.2024 22:11:00,1.04343,1.04344,1.0434,1.0434,14.4
29.12.2024 22:12:00,1.0434,1.0434,1.04333,1.0434,16.2
29.12.2024 22:13:00,1.04338,1.04341,1.04337,1.04341,6.3
29.12.2024 22:14:00,1.04341,1.04343,1.04332,1.0434,13.5
29.12.2024 22:15:00,1.0434,1.04343,1.04334,1.04339,16.2
29.12.2024 22:16:00,1.04339,1.04343,1.04337,1.0434,35.1
29.12.2024 22:17:00,1.04338,1.04338,1.04331,1.04334,8.1
29.12.2024 22:18:00,1.04332,1.04334,1.04331,1.04334,3.6
29.12.2024 22:19:00,1.04332,1.04332,1.04331,1.04332,2.7
29.12.2024 22:20:00,1.04332,1.04334,1.04332,1.04334,7.2
29.12.2024 22:21:00,1.04334,1.04335,1.0433,1.04335,3.6
29.12.2024 22:22:00,1.04335,1.04335,1.0433,1.04335,7.2
29.12.2024 22:23:00,1.0433,1.0433,1.04326,1.04327,8.1
29.12.2024 22:24:00,1.04327,1.04328,1.04326,1.04326,5.4
29.12.2024 22:25:00,1.04326,1.04328,1.04326,1.04328,7.2
29.12.2024 22:26:00,1.04327,1.04329,1.04323,1.04328,13.5
29.12.2024 22:27:00,1.04327,1.04334,1.04324,1.04327,8.1
29.12.2024 22:28:00,1.04329,1.04333,1.04324,1.04324,15.3
29.12.2024 22:29:00,1.04323,1.04325,1.04323,1.04323,3.6
29.12.2024 22:30:00,1.04323,1.04325,1.04309,1.04319,22.5
29.12.2024 22:31:00,1.0432,1.04327,1.0431,1.04314,41.4
29.12.2024 22:32:00,1.04313,1.04313,1.04305,1.04309,44.53
29.12.2024 22:33:00,1.04308,1.04308,1.04304,1.04304,1.8
29.12.2024 22:34:00,1.04305,1.04308,1.04293,1.04306,27.9
29.12.2024 22:35:00,1.04304,1.04304,1.04298,1.04304,8.1
29.12.2024 22:36:00,1.04308,1.04308,1.04305,1.04305,1.8
29.12.2024 22:37:00,1.04306,1.04306,1.04306,1.04306,0.9
29.12.2024 22:38:00,1.04307,1.04307,1.04307,1.04307,5.4
29.12.2024 22:39:00,1.04306,1.04306,1.04302,1.04303,39.6
29.12.2024 22:40:00,1.04302,1.04304,1.04302,1.04303,37.8
29.12.2024 22:41:00,1.04302,1.04307,1.04302,1.04303,31.5
29.12.2024 22:42:00,1.04303,1.04313,1.04303,1.04313,44.55
29.12.2024 22:43:00,1.04313,1.04313,1.04309,1.04313,5.4
29.12.2024 22:44:00,1.04313,1.04325,1.04313,1.04323,6.18
29.12.2024 22:45:00,1.04314,1.04323,1.04311,1.04314,14.4
29.12.2024 22:46:00,1.04315,1.04322,1.04309,1.04317,54
29.12.2024 22:47:00,1.04317,1.04325,1.04317,1.04318,32.52
29.12.2024 22:48:00,1.04312,1.04324,1.04312,1.04316,54.9
29.12.2024 22:49:00,1.04315,1.04324,1.04314,1.04316,32.4
29.12.2024 22:50:00,1.04322,1.04324,1.04314,1.04314,34.2
29.12.2024 22:51:00,1.04315,1.04324,1.04313,1.04318,44.64
29.12.2024 22:52:00,1.04315,1.04322,1.04314,1.04314,27.45
