Time (UTC),Open,High,Low,Close,Volume 
29.12.2024 22:00:00,1.04247,1.04247,1.04247,1.04247,1.8
29.12.2024 22:01:00,1.04252,1.04252,1.04252,1.04252,3.6
29.12.2024 22:02:00,1.04263,1.04285,1.04262,1.04285,23.16
29.12.2024 22:03:00,1.04285,1.04287,1.04285,1.04287,2.7
29.12.2024 22:04:00,1.04287,1.04287,1.04287,1.04287,1.8
29.12.2024 22:05:00,1.04287,1.04299,1.04275,1.04285,10.8
29.12.2024 22:06:00,1.04279,1.0428,1.04279,1.0428,13.5
29.12.2024 22:07:00,1.04279,1.04299,1.04279,1.04283,7.65
29.12.2024 22:08:00,1.04293,1.04298,1.0429,1.04298,8.1
29.12.2024 22:09:00,1.04299,1.04306,1.04299,1.04303,134.88
29.12.2024 22:10:00,1.04303,1.04306,1.04301,1.04305,63.54
29.12.2024 22:11:00,1.04306,1.04306,1.04304,1.04304,33.3
29.12.2024 22:12:00,1.04308,1.04309,1.04304,1.04306,47.7
29.12.2024 22:13:00,1.04301,1.04305,1.04301,1.04304,6.3
29.12.2024 22:14:00,1.04306,1.04307,1.04298,1.04299,35.55
29.12.2024 22:15:00,1.04298,1.04307,1.04298,1.04302,39.6
29.12.2024 22:16:00,1.04301,1.04308,1.04301,1.04303,90.84
29.12.2024 22:17:00,1.04302,1.04303,1.04298,1.04298,9.45
29.12.2024 22:18:00,1.04304,1.04304,1.04298,1.04298,2.7
29.12.2024 22:19:00,1.043,1.043,1.043,1.043,2.7
29.12.2024 22:20:00,1.04302,1.04302,1.04298,1.04298,6.75
29.12.2024 22:21:00,1.04299,1.04299,1.04298,1.04298,9.9
29.12.2024 22:22:00,1.043,1.043,1.04298,1.04298,13.5
29.12.2024 22:23:00,1.04298,1.043,1.04298,1.04298,10.8
29.12.2024 22:24:00,1.043,1.043,1.04298,1.04298,4.5
29.12.2024 22:25:00,1.04299,1.04301,1.04298,1.043,13.95
29.12.2024 22:26:00,1.04301,1.04303,1.04298,1.04299,10.8
29.12.2024 22:27:00,1.04299,1.04303,1.04298,1.04302,9.45
29.12.2024 22:28:00,1.04302,1.04304,1.043,1.043,13.05
29.12.2024 22:29:00,1.043,1.04301,1.043,1.043,4.5
29.12.2024 22:30:00,1.04301,1.04301,1.04298,1.04298,14.25
29.12.2024 22:31:00,1.04298,1.04299,1.04296,1.04298,8.1
