Time (UTC),Open,High,Low,Close,Volume 
29.12.2024 22:00:00,1.04333,1.04346,1.04325,1.0434,123.36
29.12.2024 22:10:00,1.04343,1.04344,1.04331,1.04332,160.2
29.12.2024 22:20:00,1.04332,1.04335,1.04323,1.04323,79.2
29.12.2024 22:30:00,1.04323,1.04327,1.04293,1.04303,193.93
29.12.2024 22:40:00,1.04302,1.04325,1.04302,1.04316,313.65
29.12.2024 22:50:00,1.04322,1.04328,1.04283,1.04324,291.42
29.12.2024 23:00:00,1.04324,1.04349,1.04282,1.04332,685.53
29.12.2024 23:10:00,1.04333,1.04343,1.0431,1.04331,420.75
29.12.2024 23:20:00,1.04331,1.04335,1.0432,1.04324,428.85
29.12.2024 23:30:00,1.04324,1.04324,1.04284,1.04292,328.95
29.12.2024 23:40:00,1.04291,1.0431,1.04287,1.04299,280.64
29.12.2024 23:50:00,1.04299,1.04299,1.04288,1.04297,142.2
30.12.2024 00:00:00,1.04298,1.04308,1.04267,1.04285,524.22
30.12.2024 00:10:00,1.04284,1.04304,1.04261,1.04303,411.06
30.12.2024 00:20:00,1.04299,1.04304,1.04287,1.04293,251.57
30.12.2024 00:30:00,1.04294,1.04299,1.04284,1.04292,107.94
30.12.2024 00:40:00,1.04292,1.04314,1.04288,1.04306,303.84
30.12.2024 00:50:00,1.04306,1.0431,1.0426,1.04276,665.19
30.12.2024 01:00:00,1.04277,1.04294,1.04264,1.04277,743.16
30.12.2024 01:10:00,1.04276,1.04286,1.04256,1.04283,625.1
30.12.2024 01:20:00,1.04284,1.04285,1.04262,1.04274,298.95
30.12.2024 01:30:00,1.04275,1.04311,1.04272,1.04304,295.11
30.12.2024 01:40:00,1.04304,1.04308,1.0429,1.04296,213.01
30.12.2024 01:50:00,1.04297,1.04298,1.04254,1.04255,255.48
30.12.2024 02:00:00,1.04256,1.04264,1.04243,1.0426,314.64
30.12.2024 02:10:00,1.04261,1.04271,1.04255,1.04263,220.2
30.12.2024 02:20:00,1.04264,1.04266,1.04257,1.04261,204.95
30.12.2024 02:30:00,1.04262,1.04277,1.04248,1.04274,493.65
30.12.2024 02:40:00,1.04275,1.04276,1.04256,1.04259,265.5
30.12.2024 02:50:00,1.0426,1.04265,1.0425,1.04258,285.75
30.12.2024 03:00:00,1.04258,1.04258,1.04236,1.0425,288.02
30.12.2024 03:10:00,1.04251,1.04251,1.04212,1.04235,678.39
30.12.2024 03:20:00,1.04235,1.04235,1.0422,1.04233,350.04
30.12.2024 03:30:00,1.04233,1.04248,1.0423,1.04246,216.71
30.12.2024 03:40:00,1.04246,1.04256,1.04245,1.04251,394.72
30.12.2024 03:50:00,1.0425,1.0425,1.04236,1.04248,369.36
30.12.2024 04:00:00,1.04247,1.04256,1.04245,1.04253,362.26
30.12.2024 04:10:00,1.04254,1.04255,1.04248,1.04255,325.91
30.12.2024 04:20:00,1.04254,1.04257,1.0425,1.04255,256.43
30.12.2024 04:30:00,1.04256,1.04257,1.04252,1.04254,159.3
30.12.2024 04:40:00,1.04255,1.04261,1.04253,1.04261,176.76
30.12.2024 04:50:00,1.0426,1.04261,1.04253,1.04256,373.14
30.12.2024 05:00:00,1.04256,1.04261,1.0425,1.04259,243.04
30.12.2024 05:10:00,1.0426,1.04262,1.04255,1.0426,204.32
30.12.2024 05:20:00,1.04261,1.04261,1.0425,1.04254,1078.59
30.12.2024 05:30:00,1.04254,1.04266,1.04248,1.04263,1081.74
30.12.2024 05:40:00,1.04263,1.04268,1.04244,1.04252,789.73
30.12.2024 05:50:00,1.04251,1.0427,1.04232,1.04255,1510.76
30.12.2024 06:00:00,1.04254,1.04301,1.04254,1.043,1751.69
30.12.2024 06:10:00,1.043,1.04309,1.04285,1.04295,1571.39
30.12.2024 06:20:00,1.04295,1.04303,1.04274,1.04294,1597.25
30.12.2024 06:30:00,1.04294,1.04317,1.04291,1.04294,1076.43
30.12.2024 06:40:00,1.04293,1.043,1.04277,1.0428,667.77
30.12.2024 06:50:00,1.04279,1.04295,1.04275,1.04289,745.89
30.12.2024 07:00:00,1.04289,1.04296,1.04249,1.04267,1124.38
30.12.2024 07:10:00,1.04265,1.04287,1.04252,1.04279,1277.4
30.12.2024 07:20:00,1.04279,1.04283,1.04249,1.04253,1361.73
30.12.2024 07:30:00,1.04252,1.04255,1.04212,1.04243,1357.13
30.12.2024 07:40:00,1.04244,1.04271,1.04228,1.04238,1836.3
30.12.2024 07:50:00,1.04237,1.0429,1.04231,1.04272,1778.25
30.12.2024 08:00:00,1.04272,1.04299,1.04257,1.04291,3041.3
30.12.2024 08:10:00,1.0429,1.04297,1.04204,1.04214,3085.09
30.12.2024 08:20:00,1.04213,1.04213,1.04186,1.04197,1869.72
30.12.2024 08:30:00,1.04197,1.0423,1.04171,1.04211,1533.11
30.12.2024 08:40:00,1.04211,1.04226,1.04202,1.04203,776.64
30.12.2024 08:50:00,1.04202,1.04211,1.04095,1.04129,1440.27
30.12.2024 09:00:00,1.04128,1.04184,1.04111,1.04183,1759.95
30.12.2024 09:10:00,1.04182,1.04189,1.04135,1.04155,1620.06
30.12.2024 09:20:00,1.04156,1.04187,1.04133,1.04184,1946.36
30.12.2024 09:30:00,1.04184,1.04227,1.04172,1.04225,2091.08
30.12.2024 09:40:00,1.04225,1.04263,1.04213,1.04263,2118.09
30.12.2024 09:50:00,1.04263,1.04394,1.04248,1.04341,3508.31
30.12.2024 10:00:00,1.0434,1.04416,1.0433,1.04414,2143.13
30.12.2024 10:10:00,1.04405,1.04441,1.04403,1.04413,1786.15
30.12.2024 10:20:00,1.04412,1.04425,1.04359,1.04363,1409.3
30.12.2024 10:30:00,1.04362,1.04389,1.04355,1.0437,832.89
30.12.2024 10:40:00,1.0437,1.0442,1.04365,1.0442,1306.5
30.12.2024 10:50:00,1.04419,1.04442,1.04383,1.04384,1029.85
30.12.2024 11:00:00,1.04384,1.04429,1.0437,1.0441,1438
30.12.2024 11:10:00,1.04409,1.04439,1.04405,1.04429,1416.36
30.12.2024 11:20:00,1.0443,1.04499,1.0443,1.0447,1220.75
30.12.2024 11:30:00,1.0447,1.0451,1.04461,1.04484,1062.54
30.12.2024 11:40:00,1.04485,1.04497,1.04456,1.04464,875.94
30.12.2024 11:50:00,1.04463,1.04524,1.04451,1.04482,1481.64
30.12.2024 12:00:00,1.04483,1.04555,1.04474,1.04533,1740.03
30.12.2024 12:10:00,1.04532,1.04585,1.04522,1.04524,1413.51
30.12.2024 12:20:00,1.04524,1.04527,1.04393,1.04451,1821.23
30.12.2024 12:30:00,1.04452,1.04464,1.04411,1.04413,1171.28
30.12.2024 12:40:00,1.04412,1.04518,1.04411,1.04485,1888.56
30.12.2024 12:50:00,1.04484,1.04501,1.04468,1.04496,3632.96
30.12.2024 13:00:00,1.04496,1.04521,1.04434,1.04443,2390.45
30.12.2024 13:10:00,1.04442,1.04442,1.04363,1.04375,1443.76
30.12.2024 13:20:00,1.04375,1.0443,1.04367,1.04379,2461.22
30.12.2024 13:30:00,1.04378,1.0438,1.04317,1.04342,2204.61
30.12.2024 13:40:00,1.04342,1.04346,1.04203,1.04215,2884.15
30.12.2024 13:50:00,1.04215,1.04232,1.03853,1.03882,8010.83
30.12.2024 14:00:00,1.03882,1.03992,1.03801,1.03978,7135.17
30.12.2024 14:10:00,1.03977,1.04081,1.03977,1.04015,2967.48
30.12.2024 14:20:00,1.04015,1.04077,1.04002,1.04009,2191.6
30.12.2024 14:30:00,1.04007,1.04007,1.03867,1.03877,2455.27
30.12.2024 14:40:00,1.03879,1.04018,1.0386,1.04018,3853.64
30.12.2024 14:50:00,1.04016,1.04091,1.04008,1.04055,4437.93
30.12.2024 15:00:00,1.04056,1.0406,1.0395,1.03994,3588.81
30.12.2024 15:10:00,1.03987,1.0399,1.03888,1.03913,2876.24
30.12.2024 15:20:00,1.03914,1.03966,1.03872,1.03916,4002.07
30.12.2024 15:30:00,1.03915,1.03949,1.03871,1.03939,4003.42
30.12.2024 15:40:00,1.03939,1.03959,1.03756,1.03771,3774.31
30.12.2024 15:50:00,1.03771,1.03825,1.03719,1.03806,5409.59
30.12.2024 16:00:00,1.03806,1.03845,1.03787,1.03822,3928.96
30.12.2024 16:10:00,1.03821,1.0389,1.03795,1.03842,3904.53
30.12.2024 16:20:00,1.03842,1.0385,1.0375,1.03792,2519.75
30.12.2024 16:30:00,1.03791,1.03888,1.03791,1.03888,2602.25
30.12.2024 16:40:00,1.03889,1.03917,1.03794,1.03796,2059.67
30.12.2024 16:50:00,1.03796,1.03887,1.0379,1.0386,2387.83
30.12.2024 17:00:00,1.0386,1.03909,1.03847,1.03863,2432.26
30.12.2024 17:10:00,1.03864,1.03925,1.03864,1.03896,1701.35
30.12.2024 17:20:00,1.03896,1.03938,1.03879,1.03915,931.19
30.12.2024 17:30:00,1.03916,1.03926,1.03864,1.03884,1467.45
30.12.2024 17:40:00,1.03884,1.03932,1.03866,1.03924,1480.01
30.12.2024 17:50:00,1.03923,1.03955,1.03922,1.03944,1492.78
30.12.2024 18:00:00,1.03944,1.03996,1.0394,1.03993,1182.14
30.12.2024 18:10:00,1.03993,1.03998,1.03971,1.03974,947.89
30.12.2024 18:20:00,1.03973,1.03983,1.0396,1.03972,701.47
30.12.2024 18:30:00,1.03974,1.04021,1.03965,1.03993,956.99
30.12.2024 18:40:00,1.03995,1.04054,1.03994,1.04036,844.61
30.12.2024 18:50:00,1.04037,1.04073,1.04029,1.04046,944.09
30.12.2024 19:00:00,1.04045,1.04054,1.03994,1.04016,557.13
30.12.2024 19:10:00,1.04017,1.0402,1.03984,1.03988,626.12
30.12.2024 19:20:00,1.03987,1.04033,1.03987,1.04023,569.37
30.12.2024 19:30:00,1.04024,1.04043,1.04018,1.04021,609.83
30.12.2024 19:40:00,1.04022,1.0403,1.03997,1.04017,457.39
30.12.2024 19:50:00,1.04016,1.04016,1.03963,1.03969,895.63
30.12.2024 20:00:00,1.03968,1.04009,1.03954,1.04009,2017.95
30.12.2024 20:10:00,1.04008,1.04043,1.04008,1.04041,510.44
30.12.2024 20:20:00,1.04041,1.04054,1.04018,1.04026,1039.02
