Time (UTC),Open,High,Low,Close,Volume 
29.12.2024 22:00:00,1.04247,1.04306,1.04247,1.04303,207.99
29.12.2024 22:10:00,1.04303,1.04309,1.04298,1.043,331.68
29.12.2024 22:20:00,1.04302,1.04304,1.04298,1.043,97.2
29.12.2024 22:30:00,1.04301,1.04301,1.04283,1.04291,50.09
29.12.2024 22:40:00,1.04291,1.04302,1.04276,1.04293,263.27
29.12.2024 22:50:00,1.0429,1.04308,1.04266,1.04307,274.45
29.12.2024 23:00:00,1.04311,1.04346,1.0427,1.04326,661.29
29.12.2024 23:10:00,1.04327,1.04337,1.04305,1.04326,292.95
29.12.2024 23:20:00,1.04325,1.04329,1.04315,1.04318,299.78
29.12.2024 23:30:00,1.04319,1.04319,1.0428,1.04288,250.2
29.12.2024 23:40:00,1.04288,1.04306,1.04284,1.04295,187.2
29.12.2024 23:50:00,1.04296,1.04296,1.04283,1.04292,228.15
30.12.2024 00:00:00,1.04297,1.04304,1.04264,1.0428,686.9
30.12.2024 00:10:00,1.0428,1.043,1.04257,1.043,312.47
30.12.2024 00:20:00,1.04297,1.04299,1.04283,1.04291,217.38
30.12.2024 00:30:00,1.04293,1.04295,1.04282,1.04289,168.83
30.12.2024 00:40:00,1.0429,1.04311,1.04286,1.04303,300.82
30.12.2024 00:50:00,1.04302,1.04307,1.04257,1.04274,673.19
30.12.2024 01:00:00,1.04275,1.0429,1.04261,1.04274,381.54
30.12.2024 01:10:00,1.04273,1.04283,1.04253,1.04279,378.63
30.12.2024 01:20:00,1.04281,1.04282,1.0426,1.04271,293.15
30.12.2024 01:30:00,1.04272,1.04308,1.04269,1.04301,389.4
30.12.2024 01:40:00,1.043,1.04304,1.04286,1.04294,268.14
30.12.2024 01:50:00,1.04295,1.04296,1.0425,1.04254,470.05
30.12.2024 02:00:00,1.04254,1.04262,1.0424,1.04257,290.22
30.12.2024 02:10:00,1.04258,1.04268,1.04252,1.0426,327.96
30.12.2024 02:20:00,1.0426,1.04263,1.04253,1.04259,211.32
30.12.2024 02:30:00,1.04259,1.04274,1.04245,1.04272,468.33
30.12.2024 02:40:00,1.04273,1.04275,1.04254,1.04257,91.68
30.12.2024 02:50:00,1.04257,1.04264,1.04248,1.04255,269.13
30.12.2024 03:00:00,1.04256,1.04256,1.04232,1.04247,283.35
